Год,GPS №,Тип обработки,повторность,"Содержание 0,25–10 мм, %","Содержание >10, %","Содержание <0.25, %",Коэф. структурности,"СВД, мм",Коэф. АФИ,"Содержание 0.25–10 мм(водоустойчивые), % ","СВД водоустойчивые 10-7, мм","СВД водоустойчивые 5-3, мм","СВД водоустойчивые 7-5, мм","СВД водоустойчивые >10, мм"
2019,,ПП,[0],0.3822602431337236,0.5670868977937866,0.05065285907248987,0.6188046647230321,8.94526677172445,487.45869281045816,0.7002500000000007,3.3091875000000015,1.4822500000000012,2.0428124999999993,5.824937500000006
2019,,ПП,[1],0.4214285714285714,0.5540816326530612,0.024489795918367342,0.7283950617283951,9.006802721088436,401.0543478260874,0.7233750000000005,4.639187500000005,1.652624999999997,1.9278750000000047,4.220562499999998
2019,,ПП,[2],0.4216377440347072,0.5374186550976139,0.04094360086767896,0.7290201593999063,8.759354663774403,508.60093023255797,0.6686249999999994,2.7097500000000014,1.1970624999999981,2.3303125,6.496624999999998
2019,,ПП,[3],0.3292791456541086,0.6422426579649956,0.02847819638089588,0.4909332153914197,9.851676060516171,688.5012121212121,0.7353749999999994,3.1682499999999965,1.3556874999999993,1.8718749999999988,4.4790625000000075
2019,,ПП,[4],0.41012909632572,0.5663687520688514,0.02350215160542866,0.6952861952861953,8.993834822906324,341.02085889570503,0.7798750000000003,2.935500000000007,1.4285625000000022,2.34625,3.505312500000013
2020,528.0,ПП,,0.4292984369320247,0.55470737913486,0.01599418393311523,0.7522292993630574,8.887768084332967,477.82249999999874,0.524625,2.680562500000004,0.6788750000000026,2.556624999999995,5.3438125
2020,525.0,ПП,,0.3281677301731996,0.6453965360072926,0.02643573381950775,0.4884667571234736,9.715929808568825,476.5093750000002,0.5776249999999997,4.674562499999994,1.2958124999999996,2.0694374999999994,5.657250000000013
2020,527.0,ПП,,0.36763437769473983,0.5981603909169302,0.03420523138832998,0.5813636363636364,9.269797355561948,666.0247747747757,0.6216250000000004,2.9667499999999984,1.0850624999999998,1.5205625000000016,4.769625000000001
2020,526.0,ПП,,0.4998337213169272,0.4795477219820419,0.020618556701030927,0.9993351063829788,8.525149650814766,672.1051351351342,0.6237499999999996,4.612937499999997,1.5136249999999973,1.977874999999999,6.937875000000011
2019,,ТТ,[0],0.3852788959171938,0.5649798734905118,0.04974123059229442,0.6267539756782039,8.543487636572744,242.93567839196015,0.6740000000000002,1.670249999999998,0.9903124999999982,1.2922500000000015,1.9015624999999838
2019,,ТТ,[1],0.3858549686660698,0.5696806923306476,0.0444643390032826,0.6282798833819242,8.71501044464339,202.0785410334344,0.6085000000000005,1.5981875000000048,0.8693125,1.1588750000000074,1.4952499999999866
2019,,ТТ,[2],0.5615494978479196,0.3615494978479197,0.07690100430416069,1.280759162303665,6.406779053084649,155.31510538641692,0.6621249999999999,2.0256874999999965,0.9420624999999986,1.3399375000000076,2.8724375000000233
2019,,ТТ,[3],0.4579873796081036,0.4931916306874792,0.04882098970441714,0.8449754901960784,7.948729657920957,287.34471223021615,0.6457500000000005,1.509124999999997,0.8251874999999982,1.2900625000000003,2.7948750000000113
2019,,ТТ,[4],0.40490642387455744,0.5814365199797673,0.013657056145675266,0.680407989800255,8.863966868993423,214.9333197556008,0.66425,1.3184375000000008,0.9032500000000016,1.4748125000000014,3.2420624999999865
2020,529.0,ТТ,,0.5179252479023646,0.4800406814136791,0.0020340706839562677,1.0743670886075949,7.900076277650649,1145.064857142856,0.5686249999999999,2.346749999999995,0.9111250000000005,0.8224375000000007,4.2448124999999965
