,date,RRR
0,01.06.2019,0.0
1,01.07.2019,0.0
2,01.08.2019,0.0
3,02.06.2019,0.0
4,02.07.2019,0.1
5,02.08.2019,0.0
6,03.06.2019,0.9
7,03.07.2019,0.0
8,03.08.2019,0.0
9,04.06.2019,0.3
10,04.07.2019,1.0
11,04.08.2019,0.0
12,05.06.2019,0.2
13,05.07.2019,0.0
14,05.08.2019,0.0
15,06.06.2019,8.0
16,06.07.2019,0.0
17,06.08.2019,0.0
18,07.06.2019,0.1
19,07.07.2019,0.0
20,07.08.2019,0.0
21,08.06.2019,0.0
22,08.07.2019,0.0
23,08.08.2019,0.0
24,09.06.2019,0.0
25,09.07.2019,0.6
26,09.08.2019,0.0
27,10.06.2019,0.0
28,10.07.2019,0.0
29,10.08.2019,0.0
30,11.06.2019,0.0
31,11.07.2019,0.0
32,11.08.2019,3.0
33,12.06.2019,0.0
34,12.07.2019,2.0
35,12.08.2019,0.0
36,13.06.2019,0.0
37,13.07.2019,0.0
38,13.08.2019,0.0
39,14.06.2019,0.0
40,14.07.2019,0.0
41,14.08.2019,0.0
42,15.05.2019,0.0
43,15.06.2019,0.0
44,15.07.2019,0.0
45,15.08.2019,0.0
46,16.05.2019,0.0
47,16.06.2019,0.0
48,16.07.2019,4.0
49,17.05.2019,0.0
50,17.06.2019,0.0
51,17.07.2019,0.0
52,18.05.2019,0.0
53,18.06.2019,0.0
54,18.07.2019,0.0
55,19.05.2019,0.0
56,19.06.2019,0.0
57,19.07.2019,7.0
58,20.05.2019,0.5
59,20.06.2019,0.0
60,20.07.2019,17.0
61,21.05.2019,0.0
62,21.06.2019,0.0
63,21.07.2019,0.0
64,22.05.2019,0.0
65,22.06.2019,0.0
66,22.07.2019,2.3
67,23.05.2019,6.1
68,23.06.2019,0.0
69,23.07.2019,8.5
70,24.05.2019,0.3
71,24.06.2019,0.0
72,24.07.2019,7.5
73,25.05.2019,0.0
74,25.06.2019,0.0
75,25.07.2019,1.0
76,26.05.2019,6.5
77,26.06.2019,12.3
78,26.07.2019,0.0
79,27.05.2019,7.3
80,27.06.2019,1.0
81,27.07.2019,0.0
82,28.05.2019,0.0
83,28.06.2019,0.0
84,28.07.2019,0.0
85,29.05.2019,0.0
86,29.06.2019,12.0
87,29.07.2019,0.0
88,30.05.2019,0.0
89,30.06.2019,0.3
90,30.07.2019,0.0
91,31.05.2019,0.0
92,31.07.2019,5.0
