x;y;z
36.263107;51.631477;Курск 2022 599 0-10
36.262774;51.631477;Курск 2022 600 0-10
36.262553;51.631493;Курск 2022 601 0-10
36.262209;51.631531;Курск 2022 602 0-10
36.261749;51.631549;Курск 2022 603 0-10
36.262911;51.629894;Курск 2022 631 0-10
36.26263;51.629903;Курск 2022 632 0-10
36.26234;51.629905;Курск 2022 633 0-10
36.26191;51.629938;Курск 2022 634 0-10
36.261537;51.629959;Курск 2022 635 0-10
36.263107;51.631477;Курск 2022 599 10-20
36.262774;51.631477;Курск 2022 600 10-20
36.262553;51.631493;Курск 2022 601 10-20
36.262209;51.631531;Курск 2022 602 10-20
36.261749;51.631549;Курск 2022 603 10-20
36.262911;51.629894;Курск 2022 631 10-20
36.26263;51.629903;Курск 2022 632 10-20
36.26234;51.629905;Курск 2022 633 10-20
36.26191;51.629938;Курск 2022 634 10-20
36.261537;51.629959;Курск 2022 635 10-20
